"Date","Speed Index (s)","Time To Interact","Performance","PWA","Accessibility","Best Practices","SEO","Page Speed Score","YSlow Score","GT Fully Loaded Time","Total Page Size","Requests","Start Render","Speed Index","Doc Completed Time","Doc Completed kBytes","Fully Loaded Time","Fully Loaded kBytes","Pages Image Score","URL","Total Images Analyzed","Total Images Weight"
"20180928","5.80","15.28",0.42,0.31,0.81,0.87,1,81,78,5.266,2291.789,60,0.8,1559,3.281,1403.315,5.266,2248.911,"","","",""
"20181006",5.06,15.06,0.45,0.31,0.64,0.93,1,81,76,5.329,2223.127,57,0.7,1601,3.471,1398.858,5.329,2227.626,,,,
